MAIN-FILE-ID,HULFT-ID,SEND-CLASS,SEND-DETAIL-FILE,PLANTCD,CODE-CONVERT,IN-REC-TYPE,IN-REC-LENGTH,OUT-REC-TYPE,OUT-REC-LENGTH,NEW-LINE-TYPE,SHIFTTRANSACT,SSFDEL,CMDERRMD,RETRY,INTERVAL,ZERO-CHK
HS0553,N8R5DF01,HULFT,/CDTHULFT.DF.FTPLIB03/H1R5DF01,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,NO
HS0554,N8R5DF02,HULFT,/CDTHULFT.DF.FTPLIB04/H1R5DF02,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0555,N8R5DF03,HULFT,/CDTHULFT.DF.FTPLIB05/H1R5DF03,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0556,N8R5DF04,HULFT,/CDTHULFT.DF.FTPLIB06/H1R5DF04,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0557,N8R5DF05,HULFT,/CDTHULFT.DF.FTPLIB07/H1R5DF05,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0558,N8R5DF06,HULFT,/CDTHULFT.DF.FTPLIB08/H1R5DF06,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0559,N8R5DF07,HULFT,/CDTHULFT.DF.FTPLIB09/H1R5DF07,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0561,N8R5DF51,HULFT,/CDTHULFT.DF2.FTPLIB01/H1R5DF51,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0562,N8R5DF52,HULFT,/CDTHULFT.DF2.FTPLIB02/H1R5DF52,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0563,N8R5DF53,HULFT,/CDTHULFT.DF2.FTPLIB03/H1R5DF53,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0564,N8R5DF54,HULFT,/CDTHULFT.DF2.FTPLIB04/H1R5DF54,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0565,N8R5DF55,HULFT,/CDTHULFT.DF2.FTPLIB05/H1R5DF55,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0566,N8R5DF56,HULFT,/CDTHULFT.DF2.FTPLIB06/H1R5DF56,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0568,N8R5D701,HULFT,/CDTHULFT.D7.FTPLIB02/H1R5D701,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0569,N8R5D702,HULFT,/CDTHULFT.D7.FTPLIB03/H1R5D702,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0570,N8R5D703,HULFT,/CDTHULFT.D7.FTPLIB04/H1R5D703,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0571,N8R5EA01,HULFT,/CDTHULFT.EA.FTPLIB01/H1R5EA01,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0572,N8R5EA02,HULFT,/CDTHULFT.EA.FTPLIB02/H1R5EA02,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0573,N8R5EA03,HULFT,/CDTHULFT.EA.FTPLIB03/H1R5EA03,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0574,N8R5EA04,HULFT,/CDTHULFT.EA.FTPLIB04/H1R5EA04,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0575,N8R5EA05,HULFT,/CDTHULFT.EA.FTPLIB05/H1R5EA05,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0576,N8R5EA06,HULFT,/CDTHULFT.EA.FTPLIB06/H1R5EA06,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0577,N8R5EB01,HULFT,/CDTHULFT.EB.FTPLIB02/H1R5EB01,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0578,N8R5EB02,HULFT,/CDTHULFT.EB.FTPLIB03/H1R5EB02,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0579,N8R5EB03,HULFT,/CDTHULFT.EB.FTPLIB04/H1R5EB03,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0580,N8R5EB04,HULFT,/CDTHULFT.EB.FTPLIB05/H1R5EB04,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0581,N8R5EB05,HULFT,/CDTHULFT.EB.FTPLIB06/H1R5EB05,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0582,N8R5EB06,HULFT,/CDTHULFT.EB.FTPLIB07/H1R5EB06,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0583,N8R5ED01,HULFT,/CDTHULFT.ED.FTPLIB19/H1R5ED01,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0584,N8R5ED02,HULFT,/CDTHULFT.ED.FTPLIB20/H1R5ED02,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0585,N8R5ED03,HULFT,/CDTHULFT.ED.FTPLIB21/H1R5ED03,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0586,N8R5ED04,HULFT,/CDTHULFT.ED.FTPLIB22/H1R5ED04,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0587,N8R5ED05,HULFT,/CDTHULFT.ED.FTPLIB23/H1R5ED05,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0588,N8R5ED06,HULFT,/CDTHULFT.ED.FTPLIB24/H1R5ED06,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0589,N8R5ED07,HULFT,/CDTHULFT.ED.FTPLIB25/H1R5ED07,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0590,N8R5EE01,HULFT,/CDTHULFT.EE.FTPLIB10/H1R5EE01,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
